0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:12 +0300] "GET /persons/views/images/authors1.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:12 +0300] "GET /persons/views/js/bootstrap.min.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:12 +0300] "GET /persons/views/js/jquery-3.6.4.js HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:12 +0300] "GET /persons/views/images/icon-edit.png HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:12 +0300] "GET /persons/views/images/icon-delete.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:12 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:13 +0300] "GET /persons/views/author.jsp HTTP/1.1" 200 6922
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:13 +0300] "GET /persons/views/webapp/css/bootstrap.min.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:14 +0300] "GET /persons/views/webapp/css/style.css HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:14 +0300] "GET /persons/views/images/icon-edit.png HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:14 +0300] "GET /persons/views/images/icon-delete.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:14 +0300] "GET /persons/views/js/jquery.min.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:14 +0300] "GET /persons/views/js/bootstrap.min.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:14 +0300] "GET /persons/views/images/authors1.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:14 +0300] "GET /persons/views/images/book1.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:14 +0300] "GET /persons/views/images/icon-edit.png HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:14 +0300] "GET /persons/views/images/icon-delete.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:14 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:15 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:47 +0300] "GET /authors/ HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:47 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:48 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:55:03 +0300] "GET /persons/ HTTP/1.1" 200 2257
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:55:03 +0300] "GET /persons/js/jquery-3.6.4.js HTTP/1.1" 404 786
